"All", "Wszystko"
"Cannot create the B2B quote. You cannot attach more than ten files per one request.", "Nie można utworzyć oferty B2B. Nie możesz dołączyć więcej niż dziesięciu plików na jedno żądanie."
"%fileType is not an allowed file type. Please select a different file.", "%fileType nie jest dozwolonym typem pliku. Wybierz inny plik."
"The maximum file name length is 20 characters. The only special symbols that are allowed in the file name are: dash and underscore. Row ID: %fieldName = %fieldValue", "Maksymalna długość nazwy pliku to 20 znaków. Jedynymi specjalnymi symbolami dozwolonymi w nazwie pliku są: myślnik i podkreślenie. Identyfikator wiersza: %fieldName = %fieldValue"
"Cannot attach the file %filename. The maximum allowed file size is %size Mb.", "Nie można dołączyć pliku %filename. Maksymalny dozwolony rozmiar pliku to %size MB."
"Invalid attribute value. Row ID: %fieldName = %fieldValue", "Nieprawidłowa wartość atrybutu. Identyfikator wiersza: %fieldName = %fieldValue"
"Invalid attribute value. The price must be NULL, 0 or a positive number. Row ID: %fieldName = %fieldValue", "Nieprawidłowa wartość atrybutu. Cena musi być NULL, 0 lub liczbą dodatnią. Identyfikator wiersza: %fieldName = %fieldValue"
"You cannot update the quote status.", "Nie możesz zaktualizować stanu oferty."
"Invalid attribute %fieldName: A B2B quote for this quoteID already exists. Row ID: %fieldName = %fieldValue", "Nieprawidłowy atrybut %fieldName: Oferta B2B już istnieje. Identyfikator wiersza: %fieldName = %fieldValue"
"Cannot create a B2B quote. You must provide one or more quote items.", "Nie można utworzyć oferty B2B. Musisz podać jeden lub więcej elementów oferty."
"'Cannot create the B2B quote.' .", "'Nie można utworzyć oferty B2B.' ."
"Cannot create the B2B quote. The minimum order for a quote request is %currency%amount", "Nie można utworzyć oferty B2B. Minimalne zamówienie na zapytanie ofertowe to %currency%amount"
"The quote %quoteId is currently locked and cannot be submitted to the customer. Please check the quote status.", "Oferta %quoteId jest obecnie zablokowana i nie może zostać przesłana klientowi. Sprawdź stan oferty."
"Cannot delete all items from a B2B quote. The quote must contain at least one item.", "Nie można usunąć wszystkich pozycji z oferty B2B. Oferta musi zawierać co najmniej jedną pozycję."
"Cannot set the shipping price. You must select a shipping method first.", "Nie można ustawić ceny wysyłki. Najpierw musisz wybrać metodę wysyłki."
"Product with SKU %1 not found", "Nie znaleziono produktu z kodem SKU %1"
"Product with SKU %1 not found in catalog", "Nie znaleziono produktu o SKU % 1 w katalogu"
"Street: street1, Postcode: 12345", "Ulica: ulica1, Kod pocztowy: 12345"
"Validation error message", "Komunikat o błędzie weryfikacji"
"Message 1", "Wiadomość 1"
"Message 2", "Wiadomość 2"
"exception message", "komunikat o wyjątku"
"Order Placed From Quote", "Zamówienie złożone z oferty"
"Comments", "Komentarze"
"Request Declined. Reason: ", "Prośba odrzucona. Powód: "
"Created By", "Utworzone przez"
"rate", "ocena"
"Expires", "Wygasa"
"Company Admin Email", "E-mail administratora firmy"
"Seller", "Sprzedawca"
"Catalog Price", "Cena katalogowa"
"History Log", "Dziennik historii"
"Add your comment", "Dodaj komentarz"
"Attach file", "Dołącz plik"
"Quote & Account Information", "Oferta i informacje o koncie"
"Quote # %1", "Oferta # %1"
"Edit Company", "Edytuj firmę"
"Add Product By SKU", "Dodaj produkt po SKU"
"Name & SKU", "Nazwa i SKU"
"Cost", "Koszt"
"Cart Price", "Cena koszyka"
"Recalculate Quote", "Przelicz ofertę"
"Update Prices", "Aktualizuj ceny"
"Delete Action", "Akcja usuwania"
"The quote list has changed. Please update the negotiated price.", "Lista ofert uległa zmianie. Zaktualizuj wynegocjowaną cenę."
"Negotiation", "Negocjacja"
"Quote Totals", "Całkowite sumy ofert"
"Shipping Methods & Price", "Metody wysyłki i cena"
"Sorry, rates are not available for this quote.", "Przepraszamy, stawki nie są dostępne dla tej oferty."
"You have no shipping address for this quote.", "Nie masz adresu wysyłki dla tej oferty."
"Proposed Shipping Price", "Proponowana cena wysyłki"
"Click to change shipping method", "Kliknij, aby zmienić metodę wysyłki"
"Sorry, rates are not available for this quote..", "Przepraszamy, stawki nie są dostępne dla tej oferty."
"Get shipping methods and rates", "Pobierz sposoby dostawy i stawki"
"Enter SKU", "Wprowadź SKU"
"The negotiated price cannot be higher than the catalog total price.", "Cena do uzgodnienia nie może być wyższa niż cena katalogowa."
"Negotiated Price cannot be less than 0", "Cena do uzgodnienia nie może być mniejsza niż 0"
"product(s) require attention.", "produkt(y) wymagają uwagi."
"Products Not Added to the Quote", "Produkty, które nie zostały dodane do oferty"
"Add Products to Quote", "Dodaj produkty do oferty"
"(Updated)", "(Zaktualizowane)"
"(Added)", "(Dodane)"
"Shipping address", "Adres dostawy"
"Proposed shipping price", "Proponowana cena wysyłki"
"Shipping method", "Metoda dostawy"
"removed", "usunięte"
" - removed", " - usunięte"
"Request a Quote", "Prośba o ofertę"
"Quote name", "Nazwa oferty"
"Send Request", "Wyślij prośbę"
"Quote:", "Oferta:"
"Cannot Open the Quote", "Nie można otworzyć oferty"
"Show My Orders", "Pokaż moje zamówienia"
"Show All Orders", "Pokaż wszystkie zamówienia"
"Merge", "Złącz"
"Quote Comments", "Komentarze do oferty"
"Created:", "Utworzono:"
"Expires:", "Wygasa:"
"Sales Rep.:", "Przedstawiciel handlowy:"
"Select Existing Address", "Wybierz istniejący adres"
"No shipping information available", "Brak informacji o wysyłce"
"Select a shipping address from your address book.", "Wybierz adres dostawy z książki adresowej."
"Send for Review", "Wyślij do zaopiniowania"
"Close quote", "Zamknij ofertę"
"Order Number:", "Numer oferty:"
"Quote Items", "Przedmioty oferty"
"No shipping information available.", "Brak dostępnych informacji o wysyłce."
"Your quote number is: %1.", "Twój numer oferty to: %1."
"The quote has been sent to the merchant.", "Oferta została wysłana do kupca."
"Dear %merchant_name,", "Drogi %merchant_name,"
"New quote ", "Nowa oferta "
" submitted by buyer", " przesłane przez kupującego"
"Dear %customer_name,", "Drogi %customer_name,"
"Your quote ", "Twoja oferta "
" has been declined by the seller.", " została odrzucona przez sprzedającego."
"Reason: %reason.", "Powód: %reason."
"%merchant_name,", "%merchant_name,"
"%quote_id", "%quote_id"
"The quote ", "Oferta "
"Quote ", "Oferta "
" updated by buyer", " zaktualizowany przez kupującego"
"The seller responded to your quote ", "Sprzedający odpowiedział na Twoją ofertę "
"The Quote expires after ", "Oferta wygasa po "
"Item in Quote", "Pozycja w ofercie"
"Items in Quote", "Pozycje w ofercie"
"Cancel coupon", "Anuluj kupon"
"Show All Quotes", "Pokaż wszystkie oferty"
"Show My Quotes", "Pokaż moje oferty"
"The shipping address specified on the quote was deleted from your Address Book.", "Adres wysyłki podany w ofercie został usunięty z Twojej książki adresowej."
"To proceed with the checkout, go ", "Aby przejść do kasy, przejdź "
"back to the quote", "wróć do oferty"
" and update the shipping address.", " i zaktualizuj adres wysyłki."
"The shipping address specified on the quote was deleted from your Address Book. ", "Adres wysyłki podany w ofercie został usunięty z Twojej książki adresowej."
"To proceed with the checkout, update the shipping address.", "Aby przejść do kasy, zaktualizuj adres wysyłki."
"Your shipping address is locked. To change your shipping address, go ", "Twój adres wysyłkowy jest zablokowany. Aby zmienić adres wysyłki, przejdź "
"Update Catalog Prices", "Zaktualizuj ceny katalogowe"
"If you proceed, catalog prices and cart discounts on this quote will be updated as per the latest changes in the catalog and the price rules.", "Jeśli będziesz kontynuować, ceny katalogowe i rabaty na koszyki w tej ofercie zostaną zaktualizowane zgodnie z ostatnimi zmianami w katalogu i zasadach cenowych."
"Please enter a number greater than 0 in this field", "Wprowadź w tym polu liczbę większą niż 0"
"Please enter a non-decimal number please", "Proszę podać liczbę nie po przecinku"
"Maximum length of the message is ", "Maksymalna długość wiadomości to "
"Decline Quote?", "Odrzucić ofertę?"
"If you click [Confirm], all custom pricing from the selected quotes will be removed. The buyers will be able to place orders using their standard catalog prices.", "Jeśli klikniesz [Potwierdź], wszystkie niestandardowe ceny z wybranych ofert zostaną usunięte. Kupujący będą mogli składać zamówienia po standardowych cenach katalogowych."
"Decline Quotes?", "Odrzucić oferty?"
"Cannot Decline the Selected Quotes", "Nie można odrzucić wybranych ofert"
"Only the quotes that are currently in status 'Open' can be declined", "Można odrzucić tylko oferty, które mają obecnie status 'Otwarte'"
"If you decline this quote, all custom pricing from this quote will be removed. The buyer will be able to place an order using their standard catalog prices and discounts.", "Jeśli odrzucisz tę ofertę, wszystkie niestandardowe ceny z tej oferty zostaną usunięte. Kupujący będzie mógł złożyć zamówienie, korzystając ze swoich standardowych cen katalogowych i rabatów."
"Your file could not be uploaded. Please try again.", "Twój plik nie mógł zostać przesłany. Proszę spróbuj ponownie."
"You cannot attach more than ten files per comment.", "Nie możesz dołączyć więcej niż dziesięciu plików do jednego komentarza."
"Cannot Upload File", "Nie można przesłać pliku"
"The maximum allowed file size is %1 MB. Please select a different file.", "Maksymalny dozwolony rozmiar pliku to %1 MB. Wybierz inny plik."
"The maximum file name length is %1 characters.", "Maksymalna długość nazwy pliku to %1 znaków."
"The only special symbols that are allowed in the file name are dash (-) and underscore (_).", "Jedynymi specjalnymi symbolami dozwolonymi w nazwie pliku są myślnik (-) i podkreślenie (_)."
"%1 is not an allowed file type. Please select a different file.", "%1 nie jest dozwolonym typem pliku. Wybierz inny plik."
"Allowed file formats: %1.", "Dozwolone formaty plików: %1."
"Quote request rules", "Zasady zapytania ofertowego"
"Coupon codes and gift cards are not allowed on quotes. Choose whether you'd like to keep the coupon code/gift card without requesting a quote, or request a quote without the coupon code/gift card.", "Kody kuponów i karty podarunkowe nie są dozwolone w ofertach. Wybierz, czy chcesz zachować kod kuponu/kartę podarunkową bez prośby o ofertę, czy poprosić o ofertę bez kodu kuponu/karty podarunkowej."
"Go to Checkout", "Przejdź do kasy"
"The shopping cart isn't empty", "Koszyk nie jest pusty"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?", "Masz produkty w swoim koszyku. Czy chcesz scalić pozycje w tym zamówieniu z pozycjami z tego koszyka na zakupy, czy je zastąpić?"
"Select Cancel to stay on the current page.", "Wybierz Anuluj, aby pozostać na bieżącej stronie."
"Are you sure you want to delete this quote?", "Czy na pewno chcesz usunąć tę ofertę?"
"Go to Checkout?", "Przejść do kasy?"
"Quotes Section", "Sekcja ofert"
"Enable B2B Quote", "Włącz ofertę B2B"
"Minimum Amount", "Minimalna kwota"
"Minimum order total for quote request.", "Minimalna suma zamówienia dla zapytania ofertowego."
"Minimum Amount Message", "Wiadomość o minimalnej kwocie"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.", "Ten komunikat pojawi się w koszyku gdy suma częściowa (po rabacie) jest niższa niż minimalna dozwolona kwota."
"Default Expiration Period", "Domyślny okres wygaśnięcia"
"This period will be used as the default expiration time period for quotes. It can be changed for any quote.", "Ten okres będzie używany jako domyślny okres wygaśnięcia ofert. Można go zmienić na dowolny."
"Attached files", "Załączone pliki"
"File formats for upload", "Formaty plików do przesłania"
"Separate each file extension with a comma. Special symboles like dots, converted commas, asterisk, etc. are not allowed.", "Oddziel każde rozszerzenie pliku przecinkiem. Symbole specjalne, takie jak kropki, przecinki, gwiazdki itp., są niedozwolone."
"File size in MB. Note that this setting can be overridden by the server settings.", "Rozmiar pliku w MB. Pamiętaj, że to ustawienie może zostać zastąpione przez ustawienia serwera."
"Quote", "Oferta"
"Updated Quote Template (to Buyer)", "Zaktualizowany szablon oferty (dla kupującego)"
"Declined Quote Template (to Buyer)", "Szablon odrzuconej oferty (dla kupującego)"
"New Quote Template (to Seller)", "Nowy szablon oferty (do sprzedającego)"
"Updated Quote Template (to Seller)", "Zaktualizowany szablon oferty (do sprzedającego)"
"Quote Expiration (in 48 hrs)", "Wygaśnięcie oferty (za 48 godzin)"
"Quote Expiration (in 24 hrs)", "Wygaśnięcie oferty (za 24 godziny)"
"Expiration Date Reset", "Resetowanie daty ważności"
"Send Quote Email Copy To", "Wyślij kopię e-mail z ofertą do"
"Send Quote Email Copy Method", "Metoda kopiowania wiadomości e-mail z ofertą"
"Request, Edit, Delete", "Żądanie, edytuj, usuń"
"Checkout with quote", "Do kasy z ofertą"
"View quotes of subordinate users", "Zobacz oferty podległych użytkowników"
"Negotiable Quotes", "Oferty do negocjacji"
"Allow Quotes", "Zezwalaj na oferty"
"Submitted By", "Przesłane przez"
"Quote Name", "Nazwa oferty"
"Quote Total", "Suma całkowita oferty"
"No such public catalog entity", "Brak takiej jednostki katalogu publicznego"
"Shared Catalog (or Customer Group)", "Wspólny katalog (lub grupa klientów)"
"No New Relic Application ID configured, cannot continue with Cron Event reporting", "Nie można raportować zdarzeń Crona, ponieważ nie skonfigurowano identyfikatora aplikacji New Relic"
"New Relic Reporting Section", "Dział raportowania New Relic"
"New Relic Reporting", "Raportowanie New Relic"
"Enable New Relic Integration", "Włącz integrację z New Relic"
"New Relic API URL", "Adres API New Relic"
"Insights API URL", "Adres URL interfejsu API statystyk"
"Use %s to replace the account ID in the URL", "Zastąp identyfikator konta w adresie URL za pomocą %s"
"New Relic Account ID", "Identyfikator konta New Relic"
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one", "Nie masz konta New Relic? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Kliknij tutaj, aby założyć"
"New Relic Application ID", "Identyfikator aplikacji New Relic"
"This can commonly be found at the end of the URL when viewing the APM after ""/applications/""", "To najczęściej znajdują się na końcu adresu URL podczas oglądania APM po ""/ applications /"""
"New Relic API Key", "Klucz API New Relic"
"This is located by navigating to Events -> Deployments from the New Relic APM website", "To znajduje się przechodząc do wydarzeń -> wdrożeń ze strony nowych Relic APM"
"Insights API Key", "Klucz API Insights"
"Generated under Insights in Manage data -> API Keys -> Insert Keys", "Generowane wyglądu w zarządzanie danych-> Klucze API -> Wstawić Klucze"
"New Relic Application Name", "Nazwa aplikacji New Relic"
"This is located by navigating to Settings from the New Relic APM website", "To znajduje się przechodząc do ustawień ze strony nowych Relic APM"
"Send Adminhtml and Frontend as Separate Apps", "Wyślij Adminhtml i Frontend jako oddzielne aplikacje"
"In addition to the main app (which includes all PHP execution), separate apps for adminhtml and frontend will be created. Requires New Relic Application Name to be set.", "Oprócz głównej aplikacji (która obejmuje całe wykonanie PHP), zostaną utworzone oddzielne aplikacje dla adminhtml i frontend. Wymaga ustawienia nazwy aplikacji New Relic.
"Cron", "Cron"
"Enable Cron", "Włącz Cron"
"Delete Selected Problems", "Usuń zaznaczone problemy"
"Unsubscribe Selected", "Wypisz zaznaczonych"
"Save Newsletter", "Zapisz newsletter"
"Save and Resume", "Zapisz i wznów"
"View Newsletter", "Zobacz newsletter"
"Edit Newsletter", "Edycja newslettera"
"Queue Information", "Informacje o kolejce"
"Queue Date Start", "Start kolejki"
"Subscribers From", "Subskrybenci od"
"Newsletter Styles", "Style newslettera"
"Pause", "Pauza"
"Do you really want to cancel the queue?", "Czy na pewno chcesz anulować kolejkę?"
"Resume", "Wznów"
"Return HTML Version", "Zwróć wersję HTML"
"Save As", "Zapisz jako"
"Edit Newsletter Template", "Edycja szablonu newslettera"
"New Newsletter Template", "Nowy szablon newslettera"
"Queue Newsletter", "Kolejki Newsletter"
"We unsubscribed the people you identified.", "Możemy wypisać osoby zidentyfikowane."
"The problems you identified have been deleted.", "Problemy, które zidentyfikowałeś zostały usunięte."
"Newsletter Problems Report", "Raporty problemów z wysyłką newslettera"
"Newsletter Problem Reports", "Raporty problemów z wysyłką newslettera"
"Edit Queue", "Edycja kolejki"
"Please correct the newsletter template and try again.", "Proszę poprawić szablon newslettera i spróbuj ponownie."
"You saved the newsletter queue.", "Zapisana kolejka newslettera."
"Subscribers", "Subskrybenci"
"Please select one or more subscribers.", "Wybierz jedną lub więcej subskrybentów."
"Total of %1 record(s) were deleted.", "Usunięto %1 wpis(ów)."
"The newsletter template has been deleted.", "Szablon newslettera został usunięty."
"We can't delete this template right now.", "Nie można teraz usunąć tego szablonu."
"Create Newsletter Template", "Utwórz szablon newslettera"
"The newsletter template has been saved.", "Szablon newslettera został zapisany."
"Something went wrong while saving this template.", "Coś się zepsuło podczas zapisywania tego szablonu."
"Something went wrong while saving your subscription.", "Coś się zepsuło podczas zapisywania twojej subskrypcji."
"We have saved your subscription.", "Zapisaliśmy Twoją subskrypcję."
"A confirmation request has been sent.", "Prośba o potwierdzenie została wysłana."
"We have removed your newsletter subscription.", "Usunęliśmy Twoją subskrypcję."
"We have updated your subscription.", "Zaktualizowaliśmy Twoją subskrypcję."
"Your subscription has been confirmed.", "Twoja subskrypcja została potwierdzona."
"This is an invalid subscription confirmation code.", "To jest nieprawidłowy kod potwierdzający subskrypcję."
"This is an invalid subscription ID.", "Jest to identyfikator nieprawidłowej subskrypcji."
"This email address is already assigned to another user.", "Ten e-mail jest już przypisany do innego użytkownika."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.", "Niestety, administrator wyłączył subskrypcje dla gości. Prosimy <a href=""%1"">zarejestruj się</a>."
"This email address is already subscribed.", "Ten adres e-mail jest już subskrybowany."
"Something went wrong with the subscription.", "Coś poszło nie tak z subskrypcją."
"The confirmation request has been sent.", "Prośba o potwierdzenie została wysłana."
"Thank you for your subscription.", "Dziękujemy za twoją subskrypcję"
"You unsubscribed.", "Możesz się wypisać."
"Something went wrong while unsubscribing you.", "Coś się zepsuło podczas wypisywania się."
"Cancelled", "Anulowane"
"There are no subscribers selected.", "Nie zostali wybrani subskrybenci."
"You selected an invalid queue.", "Wybrano nieprawidłową kolejkę."
"We cannot mark as received subscriber.", "Nie można oznaczyć jako subskrybenta."
"Duplicate template code", "Klonuj kod szablonu"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>", "Użyj tego linku aby się wypisać <!-- Tag dla linku wypisu  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Choose Store View:", "Wybierz widok sklepu:"
"Newsletter Message Preview", "Podgląd newslettera"
"Add to Queue", "Dodaj do kolejki"
"Are you sure that you want to strip all tags?", "Czy na pewno chcesz usunąć wszystkie znaczniki?"
"Please enter a new template name.", "Podaj nową nazwę szablonu."
" Copy", " Kopia"
"Sign Up for Our Newsletter:", "Subskrybuj nasz newsletter:"
"Enter your email address", "Wprowadź swój adres e-mail"
"Subscribe", "Subskrybuj"
"Newsletter subscription confirmation", "Potwierdzenie subskrypcji newslettera"
"Thank you for subscribing to our newsletter.", "Dziękujemy za dopisanie się do naszego newslettera."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:", "Aby rozpocząć odbieranie newsletter, musi najpierw potwierdzić subskrypcję klikając na poniższy link:"
"Newsletter subscription success", "Udany zapis do newslettera"
"You have been successfully subscribed to our newsletter.", "Twój adres został pomyślnie dodany do naszej listy subskrypcyjnej newslettera."
"Newsletter unsubscription success", "Udane usunięcie subskrypcji newslettera"
"You have been unsubscribed from the newsletter.", "Twój adres został usunięty z naszej listy subskrypcyjnej newslettera."
"Newsletter Template", "Szablony newslettera"
"Newsletter Section", "Sekcja newslettera"
"Subscription Options", "Opcje subskrypcji"
"Allow Guest Subscription", "Zezwól na subskrybowanie przez niezalogowanych"
"Need to Confirm", "Wymaga potwierdzenia"
"Confirmation Email Sender", "Nadawca wiadomości potwierdzenia"
"Confirmation Email Template", "Szablon wiadomości potwierdzenia"
"Success Email Sender", "Nadawca wiadomości o powodzeniu"
"Success Email Template", "Szablon wiadomości o powodzeniu"
"Unsubscription Email Sender", "Nadawca wiadomości wypisującej"
"Unsubscription Email Template", "Szablon wiadomości wypisującej"
"We found no problems.", "Nie znaleźliśmy żadnych problemów."
"Subscriber", "Subskrybent"
"Queue Start Date", "Data rozpoczęcia kolejki"
"Queue Subject", "Temat kolejki"
"Error Code", "Kod błędu"
"Error Text", "Tekst błędu"
"Queue Start", "Start kolejki"
"Queue End", "Koniec kolejki"
"Processed", "Przetworzona"
"Recipients", "Odbiorcy"
"Unsubscribe", "Zrezygnuj"
"Are you sure you want to delete the selected subscriber(s)?", "Czy na pewno chcesz usunąć wybranych subskrybentów?"
"Customer First Name", "Imię klienta"
"Customer Last Name", "Nazwisko klienta"
"Not Activated", "Nieaktywny"
"Subscribed", "Subskrybowany"
"Unsubscribed", "Usunięte subskrypcje"
"Unconfirmed", "Niepotwierdzony"
"Newsletter Subscriptions", "Subskrypcje newslettera"
"Purchase order number is a required field.", "Numer zamówienia jest polem wymaganym."
"Make Check payable to:", "Czek wypłacany dla"
"Send Check to:", "Adres do przelewu:"
"Purchase Order Number", "Numer wykupienia zamówienia:"
"Make Check payable to: %1", "Numer konta: %1"
"Purchase Order Number: %1", "Wykup zamówienie: %1"
"Make Check payable to", "Przelew wypłacany dla"
"Send Check to", "Adres do przelewu"
"Check / Money Order", "Czek / przelew"
"Make Check Payable to", "Czek wypłacany dla"
"Purchase Order", "Wykup zamówienie"
"Bank Transfer Payment", "Płatność przelewem bankowym"
"Instructions", "Instrukcje"
"Cash On Delivery Payment", "Płatne przy odbiorze"
"Shipping Price", "Cena dostawy"
"Export CSV", "Eksport CSV"
"Sorry, but we can't deliver to the destination country with this shipping module.", "Przepraszamy, ale nie możemy dostarczyć do kraju docelowego za pomocą tego modułu wysyłki."
"Store Pickup", "Odbiór osobisty w sklepie"
"Weight vs. Destination", "Waga w zależności od lokalizacji"
"Price vs. Destination", "Cena w zależności od lokalizacji"
"# of Items vs. Destination", "Ilość produktów w zależności od lokalizacji"
"Weight (and above)", "Waga (i powyżej)"
"Order Subtotal (and above)", "Suma częściowa zamówienia (i powyżej)"
"# of Items (and above)", "Ilość produktów (i powyżej)"
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.", "Typ kodu ""%1"" dla stawki tabeli jest niepoprawny. Sprawdź typ i spróbuj ponownie."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.", "typ kodu ""%1: %2"" dla stawki tabeli jest niepoprawny. Sprawdź typ i spróbuj ponownie."
"Per Order", "Na zamówienie"
"Per Item", "Za sztukę"
"Unable to import data", "Nie można zaimportować danych"
"Something went wrong while importing table rates.", "Coś się zepsuło podczas importowania tabeli cen."
"We couldn't import this file because of these errors: %1", "Nie można zaimportować tego pliku ze względu na te błędy: %1"
"Requested column ""%1"" cannot be resolved", "Żądana kolumna ""%1"" nie może zostać rozwiązana"
"Column ""%1"" not found", "Kolumna ""%1"" nie została znaleziona"
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.", "Format pliku stawek tabeli jest niepoprawny w wierszu o numerze ""%1"". Sprawdź format i spróbuj ponownie."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.", "Kraj "%1"" w wierszu o numerze ""%2"" jest niepoprawny. Sprawdź kraj i spróbuj ponownie."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.", "Region lub stan ""%1"" w wierszu o numerze ""%2"" jest niepoprawny. Sprawdź region lub stan i spróbuj ponownie."
"Please correct %1 ""%2"" in the Row #%3.", "Proszę poprawić %1 ""%2"" w wierszu #%3."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.", "Cena wysyłki ""%1"" w wierszu o numerze ""%2"" jest nieprawidłowa. Sprawdź cenę wysyłki i spróbuj ponownie."
"Duplicate Row #%1 (duplicates row #%2)", "Wiersz #%1 jest duplikatem (powtarza wiersz #%2)"
"The Table Rates File Format is incorrect. Verify the format and try again.", "Format pliku stawek tabeli jest nieprawidłowy. Sprawdź format i spróbuj ponownie."
"For matching items only", "Dla produktów spełniających kryteria"
"For shipment with matching items", "Dla dostawy i produktów spełniających kryteria"
"Flat Rate", "Jednolita stawka"
"Method Name", "Nazwa metody"
"Table Rates", "Tabele stawek"
"Include Virtual Products in Price Calculation", "Włącz produkty wirtualne do obliczania ceny"
"Free Shipping", "Darmowa dostawa"
"Minimum Order Amount", "Minimalna wielkość zamówienia"
"Include Tax to Amount", "Uwzględnij podatek do kwoty"
"Export VCL for Varnish %1", "Eksport VCL do Varnish %1"
"Access List value ""%1"" is not valid. Please use only IP addresses and host names.", "Wartość listy dostępu ""%1"" jest nieprawidłowa. Proszę używać tylko adresów IP i nazw hostów."
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.", "Wartość TTL ""%1"" nie jest prawidłowa. Proszę używać tylko cyfr większych lub równych zero."
"Built-in Cache", "Wbudowana pamięć podręczna"
"Varnish Cache (Recommended)", "Cache Varnish (zalecane)"
"Unsupported varnish version", "Nieobsługiwana wersja Varnish"
"Full Page Cache", "Pamięć podręczna stron"
"Caching Application", "Aplikacja do buforowania"
"Varnish Configuration", "Konfiguracja Varnish"
"Access list", "Dostęp do listy"
"Backend host", "Host"
"Specify backend host for config file generation. If field is empty default value localhost will be saved.", "Określ backend host do generowania pliku config. Jeśli pole jest puste domyślna wartość localhost zostanie zapisana."
"Backend port", "Port"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.", "Określ backend port do generowania pliku config. Jeśli pole jest puste domyślna wartość 8080 zostanie zapisana."
"Grace period", "Okres karencji"
"Specify grace period in seconds for config file generation. If field is empty default value 300 will be saved. This grace period will be used to serve cached content when the server is healthy. If the server is not healthy, cached content will be served for 3 days before failing.", "Określ okres prolongaty w sekundach dla generowania pliku konfiguracyjnego. Jeśli pole jest puste, zostanie zapisana domyślna wartość 300. Ten okres prolongaty będzie używany do obsługi zawartości z pamięci podręcznej, gdy serwer jest w dobrej kondycji. Jeśli serwer nie jest w dobrej kondycji, zawartość z pamięci podręcznej będzie obsługiwana przez 3 dni przed awarią."
"Export Configuration", "Eksportuj konfigurację"
"TTL for public content", "TTL dla publicznych treści"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved.", "Czas życia pamięci podręcznej zawartości publicznej w sekundach. Jeśli pole jest puste, zostanie zapisana wartość domyślna 86400."
"Page Cache", "Cache strony"
"Full page caching", "Buforowanie stron"
"We cannot retrieve the payment method model object.", "Nie można pobrać informacji modelu obiektu płatności."
"We cannot retrieve the payment info model object.", "Nie można pobrać informacji modelu obiektu płatności."
"Switch/Solo/Maestro Issue Number", "Numer wydania karty Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date", "Data wydania karty Switch/Solo/Maestro"
"We cannot retrieve the transparent payment method model object.", "Nie można pobrać przezroczystej informacji modelu obiektu płatności."
"The ""%1"" command executor isn't defined. Verify the executor and try again.", "Executor polecenia ""%1"" nie jest zdefiniowany. Sprawdź executor i spróbuj ponownie."
"The ""%1"" command doesn't exist. Verify the command and try again.", "Polecenie ""%1"" nie istnieje. Sprawdź polecenie i spróbuj ponownie."
"The gateway response format was incorrect. Verify the format and try again.", "Format odpowiedzi bramy był niepoprawny. Sprawdź format i spróbuj ponownie."
"The validator for the ""%1"" field doesn't exist.", "Walidator dla pola ""%1"" nie istnieje."
"All Allowed Countries", "Wszystkie dozwolone kraje"
"Specific Countries", "Wybrane kraje"
"The payment method you requested is not available.", "Metody płatności, której szukasz nie jest dostępna."
"The payment disallows storing objects.", "Płatności nie zezwala na przechowywanie obiektów."
"We cannot retrieve the payment method code.", "Nie można pobrać kodu metody płatności."
"We cannot retrieve the payment information object instance.", "Nie można pobrać informacji instancji obiektu płatności."
"You can't use the payment type you selected to make payments to the billing country.", "Nie można użyć typu płatności wybranego do dokonywania płatności w kraju rozliczeniowym."
"The order action is not available.", "Kolejność działań nie jest dostępna."
"The authorize action is not available.", "Autoryzacja nie jest dostępna."
"The capture action is not available.", "Przechwytywanie nie jest dostępne."
"The refund action is not available.", "Zwrot nie jest dostępny."
"The void action is not available.", "Unieważnienie akcji nie jest dostępne."
"The payment review action is unavailable.", "Akci opini płatności jest niedostępna."
"The credit card number doesn't match the credit card type.", "Numer karty kredytowej nie pasuje do typu karty kredytowej."
